city,lat,lon,date,temp,temp,temp,prob_rain,volume_rain,volume_rain,volume_rain,wind_speed,perc_cloud,score_temp,score_rain_prob,score_rain_vol,score_wind,score_cloud,total_score
,,,,mean,min,max,max,mean,max,sum,max,mean,,,,,,
Avignon,43.9492493,4.8059012,2026-08-19,30.0625,23.06,39.26,12.0,0.0,0.0,0.0,23.508000000000003,15.75,42.96000000000001,88.0,100.0,76.49199999999999,84.25,76.56219999999999
Avignon,43.9492493,4.8059012,2026-08-20,27.41125,21.43,36.18,100.0,0.24500000000000002,1.02,1.9600000000000002,20.412,71.25,55.28,0.0,90.2,79.588,28.75,54.4778
Avignon,43.9492493,4.8059012,2026-08-21,23.315,21.22,28.19,48.0,0.0725,0.29,0.29,26.424,26.5,87.24,52.0,98.55,73.576,73.5,80.8446
Bayeux,49.2764624,-0.7024738,2026-08-16,22.7625,19.46,25.31,0.0,0.0,0.0,0.0,18.576,81.5,98.76,100.0,100.0,81.424,18.5,89.62039999999999
Bayeux,49.2764624,-0.7024738,2026-08-17,20.4075,17.33,24.29,0.0,0.0,0.0,0.0,19.98,84.875,97.16,100.0,100.0,80.02,15.125,88.6625
Bayeux,49.2764624,-0.7024738,2026-08-18,19.4625,15.42,23.68,20.0,0.01375,0.11,0.11,26.136,65.875,94.72,80.0,99.45,73.864,34.125,85.0499
Bayeux,49.2764624,-0.7024738,2026-08-19,18.52375,12.75,23.27,33.0,0.08499999999999999,0.49,0.6799999999999999,28.584000000000003,66.375,93.08,67.0,96.6,71.416,33.625,80.8081
Bayeux,49.2764624,-0.7024738,2026-08-20,16.99,11.81,21.69,100.0,0.26625,1.23,2.13,31.104000000000003,58.125,86.76,0.0,89.35,68.896,41.875,63.9101
Bayeux,49.2764624,-0.7024738,2026-08-21,14.18,12.2,18.92,0.0,0.0,0.0,0.0,16.884,0.5,75.68,100.0,100.0,83.116,99.5,90.96560000000001
Bayonne,43.4945144,-1.4736657,2026-08-16,24.69,23.42,25.42,0.0,0.0,0.0,0.0,14.976,59.0,98.32,100.0,100.0,85.024,41.0,92.09839999999998
Bayonne,43.4945144,-1.4736657,2026-08-17,24.15875,21.93,26.93,0.0,0.0,0.0,0.0,15.228000000000002,66.0,92.28,100.0,100.0,84.77199999999999,34.0,89.5612
Bayonne,43.4945144,-1.4736657,2026-08-18,22.4725,19.96,24.58,0.0,0.0,0.0,0.0,14.832,30.25,98.32,100.0,100.0,85.168,69.75,94.9878
Bayonne,43.4945144,-1.4736657,2026-08-19,21.38,19.25,23.72,20.0,0.04375,0.12,0.35,15.768,51.5,94.88,80.0,98.25,84.232,48.5,87.21219999999998
Bayonne,43.4945144,-1.4736657,2026-08-20,20.95375,18.49,23.39,20.0,0.015,0.12,0.12,17.856,79.875,93.56,80.0,99.4,82.144,20.125,84.1149
Bayonne,43.4945144,-1.4736657,2026-08-21,18.169999999999998,16.31,21.45,0.0,0.0,0.0,0.0,6.336,32.0,85.8,100.0,100.0,93.664,68.0,91.90639999999999
Besancon,47.2380222,6.0243622,2026-08-16,26.705,21.13,29.98,47.0,0.0525,0.21,0.21,8.316,82.75,80.08,53.0,98.95,91.684,17.25,75.2024
Besancon,47.2380222,6.0243622,2026-08-17,23.5075,20.52,27.7,100.0,0.85375,1.99,6.83,10.332,89.875,89.2,0.0,65.85,89.668,10.125,56.4943
Besancon,47.2380222,6.0243622,2026-08-18,22.96125,15.99,30.12,0.0,0.0,0.0,0.0,9.828,72.875,79.52,100.0,100.0,90.172,27.125,85.5857
Besancon,47.2380222,6.0243622,2026-08-19,22.021250000000002,15.86,30.76,40.0,0.0675,0.54,0.54,21.456,56.625,76.96,60.0,97.3,78.544,43.375,76.4699
Besancon,47.2380222,6.0243622,2026-08-20,21.0625,15.78,27.96,79.0,0.04375,0.35,0.35,18.072,89.625,88.16,21.0,98.25,81.928,10.375,69.35329999999999
Besancon,47.2380222,6.0243622,2026-08-21,16.6275,14.26,20.1,0.0,0.0,0.0,0.0,9.468,97.5,80.4,100.0,100.0,90.532,2.5,83.42320000000001
Biarritz,43.4711437,-1.5527275,2026-08-16,23.7375,23.16,24.32,0.0,0.0,0.0,0.0,13.068,60.75,97.28,100.0,100.0,86.932,39.25,91.8022
Biarritz,43.4711437,-1.5527275,2026-08-17,22.425,20.88,24.05,0.0,0.0,0.0,0.0,13.68,71.875,96.2,100.0,100.0,86.32,28.125,90.3045
Biarritz,43.4711437,-1.5527275,2026-08-18,22.16375,20.49,23.78,0.0,0.0,0.0,0.0,13.644,34.125,95.12,100.0,100.0,86.356,65.875,93.7591
Biarritz,43.4711437,-1.5527275,2026-08-19,21.35875,19.6,22.95,20.0,0.051250000000000004,0.15,0.41000000000000003,14.04,49.625,91.8,80.0,97.95,85.96000000000001,50.375,86.5585
Biarritz,43.4711437,-1.5527275,2026-08-20,20.9975,19.29,22.68,22.0,0.035,0.16,0.28,17.136,84.875,90.72,78.0,98.6,82.864,15.125,82.1949
Biarritz,43.4711437,-1.5527275,2026-08-21,18.745,17.03,20.91,0.0,0.0,0.0,0.0,8.496,44.75,83.64,100.0,100.0,91.504,55.25,89.76740000000001
