city,lat,lon,date,temp,temp,temp,prob_rain,volume_rain,volume_rain,volume_rain,wind_speed,perc_cloud,score_temp,score_rain_prob,score_rain_vol,score_wind,score_cloud,total_score
,,,,mean,min,max,max,mean,max,sum,max,mean,,,,,,
Marseille,43.2963986,5.3777888,2026-08-18,29.80375,26.12,32.69,0.0,0.0,0.0,0.0,39.492000000000004,31.625,69.24000000000001,100.0,100.0,60.507999999999996,68.375,83.6603
Marseille,43.2963986,5.3777888,2026-08-19,29.3175,28.22,30.41,0.0,0.0,0.0,0.0,17.856,7.875,78.36,100.0,100.0,82.144,92.125,90.9349
Marseille,43.2963986,5.3777888,2026-08-20,27.78875,27.2,28.61,66.0,0.0925,0.37,0.74,16.056,78.75,85.56,34.0,96.3,83.944,21.25,71.87740000000001
Marseille,43.2963986,5.3777888,2026-08-21,27.1925,26.2,27.65,0.0,0.0,0.0,0.0,24.48,87.25,89.4,100.0,100.0,75.52,12.75,85.64699999999999
Mont Saint Michel,48.6359541,-1.51146,2026-08-16,21.4875,18.13,23.53,0.0,0.0,0.0,0.0,25.308,86.75,94.12,100.0,100.0,74.69200000000001,13.25,87.03020000000001
Mont Saint Michel,48.6359541,-1.51146,2026-08-17,19.87875,17.12,23.39,0.0,0.0,0.0,0.0,20.664,81.875,93.56,100.0,100.0,79.336,18.125,87.8141
Mont Saint Michel,48.6359541,-1.51146,2026-08-18,19.77625,16.83,23.59,0.0,0.0,0.0,0.0,22.392,64.25,94.36,100.0,100.0,77.608,35.75,89.6438
Mont Saint Michel,48.6359541,-1.51146,2026-08-19,18.475,15.8,20.99,100.0,0.19999999999999998,1.28,1.5999999999999999,23.400000000000002,59.75,83.96,0.0,92.0,76.6,40.25,64.473
Mont Saint Michel,48.6359541,-1.51146,2026-08-20,17.46375,14.04,20.68,20.0,0.0125,0.1,0.1,30.924,66.75,82.72,80.0,99.5,69.076,33.25,80.8986
Mont Saint Michel,48.6359541,-1.51146,2026-08-21,15.8025,14.26,19.72,20.0,0.0675,0.15,0.27,17.928,27.5,78.88,80.0,98.65,82.072,72.5,84.7162
Montauban,44.0175835,1.3549991,2026-08-16,26.75,22.84,29.13,80.0,0.1975,0.79,0.79,11.772,68.25,83.48,20.0,96.05,88.228,31.75,69.85679999999999
Montauban,44.0175835,1.3549991,2026-08-17,25.4425,20.56,31.68,84.0,0.065,0.52,0.52,19.259999999999998,54.5,73.28,16.0,97.4,80.74000000000001,45.5,67.02799999999999
Montauban,44.0175835,1.3549991,2026-08-18,24.69375,17.83,32.11,0.0,0.0,0.0,0.0,16.272,16.375,71.56,100.0,100.0,83.72800000000001,83.625,88.2033
Montauban,44.0175835,1.3549991,2026-08-19,24.06625,18.57,31.15,100.0,0.20750000000000002,0.87,1.6600000000000001,15.624,10.375,75.4,0.0,91.7,84.376,89.625,67.5301
Montauban,44.0175835,1.3549991,2026-08-20,22.9625,17.59,28.94,72.0,0.08,0.64,0.64,17.424,87.5,84.24,28.0,96.8,82.576,12.5,69.4196
Montauban,44.0175835,1.3549991,2026-08-21,18.435000000000002,15.73,21.46,0.0,0.0,0.0,0.0,14.148000000000001,53.25,85.84,100.0,100.0,85.852,46.75,89.01219999999999
Nimes,43.8374249,4.3600687,2026-08-16,29.1075,23.97,32.45,100.0,0.5075000000000001,1.58,2.0300000000000002,26.424,51.5,70.19999999999999,0.0,89.85,73.576,48.5,60.22259999999999
Nimes,43.8374249,4.3600687,2026-08-17,28.67875,20.65,36.95,77.0,0.0,0.0,0.0,28.476000000000003,60.25,52.19999999999999,23.0,100.0,71.524,39.75,61.3874
Nimes,43.8374249,4.3600687,2026-08-18,30.86625,24.4,38.37,0.0,0.0,0.0,0.0,24.12,25.5,46.52000000000001,100.0,100.0,75.88,74.5,78.994
Nimes,43.8374249,4.3600687,2026-08-19,30.97125,24.81,38.85,26.0,0.02375,0.19,0.19,18.612000000000002,2.5,44.599999999999994,74.0,99.05,81.388,97.5,75.7838
Nimes,43.8374249,4.3600687,2026-08-20,26.70875,21.31,34.93,100.0,0.4525,1.33,3.62,15.084000000000001,76.625,60.28,0.0,81.9,84.916,23.375,53.48309999999999
Nimes,43.8374249,4.3600687,2026-08-21,23.6925,21.59,28.98,36.0,0.0375,0.15,0.15,15.048,34.25,84.08,64.0,99.25,84.952,65.75,82.8692
Paris,48.8534951,2.3483915,2026-08-16,27.345,25.75,29.64,0.0,0.0,0.0,0.0,13.536,67.75,81.44,100.0,100.0,86.464,32.25,86.3034
Paris,48.8534951,2.3483915,2026-08-17,24.02625,21.43,28.19,0.0,0.0,0.0,0.0,18.791999999999998,91.375,87.24,100.0,100.0,81.208,8.625,85.1553
Paris,48.8534951,2.3483915,2026-08-18,24.495,18.21,30.34,0.0,0.0,0.0,0.0,18.971999999999998,72.25,78.64,100.0,100.0,81.028,27.75,84.4698
Paris,48.8534951,2.3483915,2026-08-19,22.59875,18.55,27.82,77.0,0.09875,0.38,0.79,17.46,65.125,88.72,23.0,96.05,82.53999999999999,34.875,71.7725
Paris,48.8534951,2.3483915,2026-08-20,21.13,17.13,26.01,0.0,0.0,0.0,0.0,17.46,77.375,95.96,100.0,100.0,82.53999999999999,22.625,89.3045
Paris,48.8534951,2.3483915,2026-08-21,17.759999999999998,16.08,20.32,0.0,0.0,0.0,0.0,15.515999999999998,20.25,81.28,100.0,100.0,84.48400000000001,79.75,90.8074
Rouen,49.4404591,1.0939658,2026-08-16,25.44,23.6,27.09,0.0,0.0,0.0,0.0,17.928,61.0,91.64,100.0,100.0,82.072,39.0,89.59920000000001
Rouen,49.4404591,1.0939658,2026-08-17,22.48625,18.62,27.81,0.0,0.0,0.0,0.0,24.408,81.125,88.76,100.0,100.0,75.592,18.875,86.0747
Rouen,49.4404591,1.0939658,2026-08-18,20.63875,16.29,25.98,20.0,0.0125,0.1,0.1,25.452,68.0,96.08,80.0,99.5,74.548,32.0,85.3288
Rouen,49.4404591,1.0939658,2026-08-19,19.41625,14.29,24.62,100.0,0.115,0.92,0.92,26.928,57.75,98.48,0.0,95.4,73.072,42.25,69.69619999999999
Rouen,49.4404591,1.0939658,2026-08-20,17.3675,11.31,22.93,90.0,0.07875,0.51,0.63,29.448,49.0,91.72,10.0,96.85,70.55199999999999,51.0,70.72619999999999
Rouen,49.4404591,1.0939658,2026-08-21,14.965,12.71,20.24,0.0,0.0,0.0,0.0,21.096,4.25,80.96,100.0,100.0,78.904,95.75,91.7534
Saintes Maries de la mer,43.4515922,4.4277202,2026-08-16,27.005,25.97,27.86,19.0,0.0,0.0,0.0,30.419999999999998,37.5,88.56,81.0,100.0,69.58,62.5,85.976
Saintes Maries de la mer,43.4515922,4.4277202,2026-08-17,27.6825,24.27,31.75,0.0,0.0,0.0,0.0,27.648,58.5,73.0,100.0,100.0,72.352,41.5,83.28520000000002
Saintes Maries de la mer,43.4515922,4.4277202,2026-08-18,28.5925,25.32,31.56,0.0,0.0,0.0,0.0,23.796000000000003,28.5,73.76,100.0,100.0,76.204,71.5,86.89840000000001
Saintes Maries de la mer,43.4515922,4.4277202,2026-08-19,27.8125,25.57,29.12,0.0,0.0,0.0,0.0,34.92,7.125,83.52,100.0,100.0,65.08,92.875,90.85149999999999
Saintes Maries de la mer,43.4515922,4.4277202,2026-08-20,26.3325,23.73,27.98,48.0,0.10250000000000001,0.3,0.8200000000000001,23.220000000000002,83.5,88.08,52.0,95.9,76.78,16.5,74.922
Saintes Maries de la mer,43.4515922,4.4277202,2026-08-21,24.595,23.53,26.6,0.0,0.0,0.0,0.0,19.332,83.75,93.6,100.0,100.0,80.668,16.25,87.7718
St Malo,48.649518,-2.0260409,2026-08-16,21.0075,18.58,22.63,0.0,0.0,0.0,0.0,23.904,74.5,90.52,100.0,100.0,76.096,25.5,87.3156
St Malo,48.649518,-2.0260409,2026-08-17,19.855,17.41,23.11,0.0,0.0,0.0,0.0,22.212,79.25,92.44,100.0,100.0,77.788,20.75,87.5858
St Malo,48.649518,-2.0260409,2026-08-18,19.5575,17.29,22.42,0.0,0.0,0.0,0.0,28.08,64.625,89.68,100.0,100.0,71.92,35.375,87.6335
St Malo,48.649518,-2.0260409,2026-08-19,18.42375,16.88,19.81,100.0,0.19125,1.05,1.53,30.6,55.875,79.24,0.0,92.35,69.4,44.125,62.8295
St Malo,48.649518,-2.0260409,2026-08-20,17.81125,15.21,19.67,20.0,0.0275,0.11,0.22,37.116,70.75,78.68,80.0,98.9,62.884,29.25,78.4874
St Malo,48.649518,-2.0260409,2026-08-21,16.6,15.75,18.9,0.0,0.0,0.0,0.0,23.724,22.25,75.6,100.0,100.0,76.276,77.75,88.0826
Strasbourg,48.584614,7.7507127,2026-08-16,29.4725,24.46,31.73,96.0,0.28,1.12,1.12,16.488,99.0,73.08,4.0,94.4,83.512,1.0,59.4952
Strasbourg,48.584614,7.7507127,2026-08-17,22.97625,19.9,27.79,100.0,1.3150000000000002,6.11,10.520000000000001,9.0,89.625,88.84,0.0,47.39999999999999,91.0,10.375,51.0095
Strasbourg,48.584614,7.7507127,2026-08-18,23.85125,18.78,30.24,0.0,0.0,0.0,0.0,16.2,89.375,79.04,100.0,100.0,83.8,10.625,83.1545
Strasbourg,48.584614,7.7507127,2026-08-19,20.41125,16.27,26.66,100.0,0.12375,0.78,0.99,32.436,51.125,93.36,0.0,95.05,67.564,48.875,68.1669
Strasbourg,48.584614,7.7507127,2026-08-20,21.31375,14.55,29.04,0.0,0.0,0.0,0.0,17.496000000000002,62.0,83.84,100.0,100.0,82.50399999999999,38.0,87.2024
Strasbourg,48.584614,7.7507127,2026-08-21,18.2775,15.59,22.79,0.0,0.0,0.0,0.0,15.947999999999999,75.75,91.16,100.0,100.0,84.052,24.25,88.17819999999999
Toulouse,43.6044638,1.4442433,2026-08-16,26.689999999999998,24.41,29.36,100.0,0.2425,0.97,0.97,9.18,78.75,82.56,0.0,95.15,90.82,21.25,64.52000000000001
Toulouse,43.6044638,1.4442433,2026-08-17,26.28375,21.75,32.38,100.0,0.08,0.64,0.64,17.352,59.125,70.47999999999999,0.0,96.8,82.648,40.875,62.5363
Toulouse,43.6044638,1.4442433,2026-08-18,25.60625,18.91,32.31,0.0,0.0,0.0,0.0,17.856,16.75,70.75999999999999,100.0,100.0,82.144,83.25,87.7674
Toulouse,43.6044638,1.4442433,2026-08-19,24.92875,19.62,31.97,100.0,0.18,0.83,1.44,14.4,10.0,72.12,0.0,92.8,85.6,90.0,67.036
Toulouse,43.6044638,1.4442433,2026-08-20,23.69125,18.55,29.67,100.0,0.06125,0.49,0.49,16.524,77.625,81.32,0.0,97.55,83.476,22.375,64.2461
Toulouse,43.6044638,1.4442433,2026-08-21,19.595,16.98,21.98,0.0,0.0,0.0,0.0,15.408000000000001,35.25,87.92,100.0,100.0,84.592,64.75,91.3102
Uzes,44.0121279,4.4196718,2026-08-16,27.9775,22.61,31.82,100.0,0.5425,1.31,2.17,26.892,63.0,72.72,0.0,89.15,73.108,37.0,59.5718
Uzes,44.0121279,4.4196718,2026-08-17,27.71125,19.27,35.95,72.0,0.0,0.0,0.0,28.152,62.375,56.19999999999999,28.0,100.0,71.848,37.625,63.4073
Uzes,44.0121279,4.4196718,2026-08-18,29.41125,22.4,37.18,0.0,0.0,0.0,0.0,25.776,29.75,51.28,100.0,100.0,74.224,70.25,79.8314
Uzes,44.0121279,4.4196718,2026-08-19,29.27625,21.76,38.7,93.0,0.0675,0.54,0.54,20.304,4.125,45.19999999999999,7.0,97.3,79.696,95.875,61.70709999999999
Uzes,44.0121279,4.4196718,2026-08-20,25.223750000000003,19.4,34.11,100.0,0.6775,1.46,5.42,17.352,75.25,63.56,0.0,72.9,82.648,24.75,51.677800000000005
Uzes,44.0121279,4.4196718,2026-08-21,21.96,19.56,27.71,68.0,0.0725,0.29,0.29,17.676000000000002,14.5,89.16,32.0,98.55,82.324,85.5,79.49539999999999
