city,lat,lon,total_score,id
Collioure,42.52505,3.0831554,65.80291666666666,80febec9-f6d6-41f3-99bc-44bef36e20c6
Nimes,43.8374249,4.3600687,56.912929999999996,4eae6f0b-1c9f-45d2-813f-7b5f71939249
Avignon,43.9492493,4.8059012,55.86284666666666,0e6bbaa6-2fd7-4b81-a18f-7c08be0b0431
Uzes,44.0121279,4.4196718,55.12746333333333,bf816f35-2092-4eba-94db-ffe091e188b4
Bormes les Mimosas,43.1506968,6.3419285,55.007246666666674,bee1b6fb-7003-4b9c-92ff-03d83e5081a9
Marseille,43.2961743,5.3699525,54.964416666666665,aead8e04-4c6e-4fc8-820e-4b89f6bef516
Cassis,43.2140359,5.5396318,54.75183333333333,d502f3dd-4232-4cff-b87f-f14f4b434442
Aigues Mortes,43.5661521,4.19154,54.11991666666666,592e49d5-85a8-428f-a967-3eb7586c2c93
Saintes Maries de la mer,43.4515922,4.4277202,53.98858333333333,0075a6ed-2cd4-4564-9c01-0ba21ab9327a
Gorges du Verdon,43.7496562,6.3285616,51.23439,22edece0-e1df-4eee-800e-23a534d7a559
Aix en Provence,43.5298424,5.4474738,50.303689999999996,80b13778-c650-4017-8c05-7a4de7dc6ed8
Lyon,45.7578137,4.8320114,49.64465333333334,7a25c390-242d-4baf-932f-97203c961def
Lille,50.6365654,3.0635282,44.15107666666666,3f74b0f1-577a-4677-88b2-6ec75f3f1087
Amiens,49.8941708,2.2956951,43.40088333333333,75282e77-9835-4a37-aefc-c84e94116149
Paris,48.8588897,2.320041,43.24733666666666,b1d3ae55-4343-4bc7-bafb-5ead67d40082
Dijon,47.3215806,5.0414701,40.94273333333333,b2bbc6f2-9462-47b0-b01d-a59ce291081c
Colmar,48.0777517,7.3579641,40.61732666666666,75f754d1-9f0e-4b99-b1d4-e68a83a44765
Eguisheim,48.0447968,7.3079618,40.509166666666665,9f9485bf-3fe3-41b5-a250-b011741fd0c1
Rouen,49.4404591,1.0939658,40.48981666666666,6d0028ce-e24f-4225-bf94-394fca5a123f
Strasbourg,48.584614,7.7507127,40.24894,bd478d7b-ef82-40ca-a9d7-131da673b699
St Malo,48.649518,-2.0260409,39.625436666666666,ba56c834-b4da-47b7-90f3-8c4d244256f7
Toulouse,43.6044638,1.4442433,39.47721333333333,5fcbea19-4edc-4e19-98e0-81e0a1eb7dca
Montauban,44.0175835,1.3549991,39.23889333333333,23d7267b-5c1f-46f7-ab3f-41e2e9788d12
Chateau du Haut Koenigsbourg,48.249382,7.3439412,37.98084333333333,8d63c058-f230-40b8-b838-2ff9c9a924e0
Mont Saint Michel,48.6359541,-1.51146,37.65564,9ba4df1a-a593-4985-8bfa-1e43b60c1d5f
Bayeux,49.2764624,-0.7024738,37.18901666666667,44431498-36f5-4bcf-9398-4fade58f1a16
Le Havre,49.4938975,0.1079732,36.91483333333333,d26d34c0-6a27-4401-acb2-119f8744bb12
Besancon,47.2380222,6.0243622,35.57745666666667,6e5afcdb-3ed1-4ef9-bff9-9eac3f0b154b
Grenoble,45.1875602,5.7357819,35.46044,ed20a52b-3f2c-4108-bfbb-ae24708ec423
Annecy,45.8992348,6.1288847,33.85015333333334,93c761e5-399f-4e07-b108-a52fd48aae5d
La Rochelle,46.159732,-1.1515951,33.34908333333333,1a1b826f-b9f3-4f66-be3a-282fc1dc7de4
Biarritz,43.4832523,-1.5592776,32.49765333333333,f12f1917-92f7-4703-8238-5d04952fbd6c
Carcassonne,43.2130358,2.3491069,32.23318333333333,05ba8e91-a566-4984-980b-0171126f086e
Bayonne,43.4945144,-1.4736657,32.05099,bd4380f4-a8a6-41cb-85b9-bd119ee9429d
Ariege,42.9455368,1.4065544,24.25361,7dbd3a9b-1bd1-41bc-9e9d-e3c2975a87ad
